disease_name,symptoms
COVID-19,"fever, dry cough, fatigue, loss of taste or smell, difficulty breathing, chest pain, headache, sore throat, muscle aches"
Influenza (Flu),"fever, chills, cough, sore throat, runny nose, muscle aches, headache, fatigue, vomiting, diarrhea"
Common Cold,"runny nose, sneezing, sore throat, cough, congestion, mild headache, mild body aches, low-grade fever"
Pneumonia,"fever, chills, cough with phlegm, chest pain, shortness of breath, fatigue, confusion (in elderly), nausea, vomiting"
Tuberculosis,"persistent cough, coughing up blood, chest pain, weight loss, fatigue, fever, night sweats, loss of appetite"
Diabetes Type 1,"increased thirst, frequent urination, extreme hunger, weight loss, fatigue, blurred vision, irritability"
Diabetes Type 2,"increased thirst, frequent urination, increased hunger, weight loss, fatigue, blurred vision, slow-healing sores, frequent infections"
Hypertension,"headache, shortness of breath, nosebleeds, flushing, dizziness, chest pain, visual changes"
Asthma,"shortness of breath, chest tightness, wheezing, coughing, difficulty sleeping due to breathing problems"
COPD,"shortness of breath, chronic cough, wheezing, chest tightness, frequent respiratory infections, lack of energy, swelling in ankles"
Heart Disease,"chest pain, shortness of breath, pain in neck or jaw, pain in upper abdomen, nausea, fatigue, irregular heartbeat"
Stroke,"sudden numbness, confusion, trouble speaking, trouble seeing, trouble walking, dizziness, severe headache"
Alzheimer's Disease,"memory loss, confusion, difficulty completing tasks, problems with words, poor judgment, personality changes, withdrawal"
Parkinson's Disease,"tremor, slowed movement, rigid muscles, impaired posture, loss of automatic movements, speech changes, writing changes"
Migraine,"severe headache, nausea, vomiting, sensitivity to light, sensitivity to sound, visual disturbances, dizziness"
Epilepsy,"seizures, temporary confusion, staring spell, uncontrollable jerking movements, loss of consciousness, fear, anxiety"
Depression,"persistent sadness, loss of interest, sleep changes, appetite changes, fatigue, difficulty concentrating, feelings of worthlessness, suicidal thoughts"
Anxiety Disorder,"excessive worry, restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep disturbances, panic attacks"
Schizophrenia,"hallucinations, delusions, disorganized speech, disorganized behavior, lack of motivation, social withdrawal, cognitive difficulties"
Bipolar Disorder,"extreme mood swings, elevated mood, increased energy, decreased need for sleep, racing thoughts, depression, irritability"
Malaria,"fever, chills, headache, nausea, vomiting, muscle pain, fatigue, sweating, abdominal pain, diarrhea"
Dengue Fever,"high fever, severe headache, pain behind eyes, joint pain, muscle pain, rash, mild bleeding, low platelet count"
Zika Virus,"fever, rash, joint pain, red eyes, muscle pain, headache"
Ebola,"fever, severe headache, muscle pain, weakness, fatigue, diarrhea, vomiting, abdominal pain, unexplained bleeding"
HIV/AIDS,"fever, chills, rash, night sweats, muscle aches, sore throat, fatigue, swollen lymph nodes, mouth ulcers"
Hepatitis A,"fatigue, nausea, vomiting, abdominal pain, loss of appetite, low-grade fever, dark urine, joint pain, jaundice"
Hepatitis B,"abdominal pain, dark urine, fever, joint pain, loss of appetite, nausea, vomiting, weakness, jaundice"
Hepatitis C,"fatigue, fever, nausea, poor appetite, abdominal pain, dark urine, joint pain, jaundice"
Measles,"fever, cough, runny nose, red watery eyes, white spots in mouth, red rash that spreads"
Mumps,"fever, headache, muscle aches, fatigue, loss of appetite, swollen salivary glands"
Chickenpox,"itchy rash, fever, tiredness, loss of appetite, headache, red spots that become blisters"
Smallpox,"fever, malaise, headache, severe back pain, vomiting, rash with raised bumps, scabs"
Polio,"fever, fatigue, headache, vomiting, stiffness in neck, pain in limbs, paralysis"
Rabies,"fever, headache, nausea, vomiting, anxiety, confusion, hyperactivity, difficulty swallowing, fear of water, hallucinations"
Tetanus,"jaw cramping, muscle stiffness, painful muscle spasms, difficulty swallowing, seizures, fever, sweating, elevated blood pressure"
Meningitis,"sudden high fever, severe headache, stiff neck, nausea, vomiting, confusion, seizures, sensitivity to light"
Encephalitis,"fever, headache, confusion, seizures, weakness, loss of consciousness, hallucinations, personality changes"
Gastroenteritis,"diarrhea, nausea, vomiting, abdominal cramps, fever, headache, muscle aches"
Food Poisoning,"nausea, vomiting, diarrhea, abdominal pain, fever, weakness, headache"
Salmonella,"diarrhea, fever, abdominal cramps, nausea, vomiting, headache"
E. coli Infection,"severe stomach cramps, diarrhea (often bloody), vomiting, fever"
Cholera,"severe watery diarrhea, vomiting, rapid dehydration, muscle cramps, shock"
Typhoid Fever,"prolonged fever, weakness, abdominal pain, headache, loss of appetite, rash"
Lyme Disease,"bull's-eye rash, fever, chills, fatigue, muscle aches, joint pain, headache, swollen lymph nodes"
Rheumatoid Arthritis,"joint pain, joint swelling, joint stiffness (especially in morning), fatigue, fever, weight loss"
Osteoarthritis,"joint pain, stiffness, tenderness, loss of flexibility, grating sensation, bone spurs"
Lupus,"fatigue, fever, joint pain, skin rashes, chest pain, shortness of breath, dry eyes, headaches, confusion"
Celiac Disease,"diarrhea, fatigue, weight loss, bloating, abdominal pain, nausea, vomiting, constipation"
Crohn's Disease,"diarrhea, abdominal pain, cramping, blood in stool, fatigue, weight loss, reduced appetite, fever"
Ulcerative Colitis,"diarrhea with blood, abdominal pain, rectal bleeding, urgency to defecate, inability to defecate, weight loss, fatigue"
Irritable Bowel Syndrome,"abdominal pain, bloating, gas, diarrhea, constipation, mucus in stool"
Kidney Stones,"severe pain in side and back, pain during urination, pink or brown urine, nausea, vomiting, frequent urination, fever"
Urinary Tract Infection,"burning sensation during urination, frequent urination, cloudy urine, strong-smelling urine, pelvic pain, blood in urine"
Kidney Disease,"fatigue, difficulty concentrating, poor appetite, trouble sleeping, muscle cramping, swollen feet, puffy eyes, dry skin, frequent urination"
Liver Cirrhosis,"fatigue, easy bleeding, easy bruising, fluid accumulation in abdomen, loss of appetite, nausea, swelling in legs, weight loss, jaundice"
Gallstones,"sudden pain in upper right abdomen, pain in right shoulder, nausea, vomiting"
Pancreatitis,"upper abdominal pain, pain radiating to back, tenderness when touching abdomen, fever, rapid pulse, nausea, vomiting"
Anemia,"fatigue, weakness, pale skin, irregular heartbeat, shortness of breath, dizziness, chest pain, cold hands and feet"
Leukemia,"fever, chills, persistent fatigue, frequent infections, weight loss, swollen lymph nodes, easy bleeding, red spots on skin"
Lymphoma,"painless swelling of lymph nodes, fatigue, fever, night sweats, weight loss, itching, chest pain, coughing"
Breast Cancer,"breast lump, change in breast size or shape, nipple discharge, nipple inversion, skin changes on breast, breast pain"
Lung Cancer,"persistent cough, coughing up blood, chest pain, shortness of breath, hoarseness, bone pain, headache, weight loss"
Prostate Cancer,"difficulty urinating, decreased force in urine stream, blood in urine, blood in semen, bone pain, erectile dysfunction"
Colorectal Cancer,"changes in bowel habits, blood in stool, abdominal discomfort, weakness, fatigue, unexplained weight loss"
Skin Cancer (Melanoma),"change in existing mole, new pigmented growth, sore that doesn't heal, spread of pigment, redness, itching"
Ovarian Cancer,"abdominal bloating, pelvic pain, difficulty eating, feeling full quickly, urinary symptoms, fatigue, back pain"
Thyroid Cancer,"lump in neck, changes in voice, difficulty swallowing, neck pain, swollen lymph nodes"
Hypothyroidism,"fatigue, weight gain, cold sensitivity, dry skin, hair thinning, depression, slowed heart rate, constipation"
