question,answer,source_document,page_numbers,requires_multi_source
What is the medical information about general_health?,We surveyed young leaders across #WNY. They believe that the local region is in better condition than the nation as… https://t.co/WAVoCK7w4U,kaggle_unknown,1,False
What is the medical information about general_health?,"Passengers needing a face covering can receive a free one at select Information Desks. Face coverings, and other pe… https://t.co/ZAu7urr9Ru",kaggle_unknown,1,False
What is the medical information about general_health?,@RealBobMcNeil @mycherieamour25 @BreitbartNews Of course @YouTube took the video down...they'll allow all kinds of… https://t.co/GnLWDXHaKF,kaggle_unknown,1,False
What is the medical information about covid_19?,Wearing a mask to prevent the spread of COVID-19 is unnecessary because the disease can also be spread via farts.,kaggle_unknown,1,False
What is the medical information about general_health?,"@PAMJ84 @Care2much18 Across Europe, positive test results are rising, but the level of pathology is very different… https://t.co/njmXGWePuV",kaggle_unknown,1,False
What is the medical information about general_health?,"‘The Homeless Hotel’ 

Moving BBC Radio4 podcast following Simon who found himself being offered an en suite room a… https://t.co/4hSbhKD9aw",kaggle_unknown,1,False
What is the medical information about general_health?,"(1/2) Not sure if it is just with me, but I somehow dealt w/ last #Eid (in May); perhaps due to London Eids being l… https://t.co/QTLwu7OCf4",kaggle_unknown,1,False
What is the medical information about general_health?,No herbal remedy has been proven to cure Narcolepsy.,synthetic_true,1,False
What is the medical information about covid_19?,"#BIGNEWS: #India reports 52,050 fresh #COVID19 cases and 803 deaths in the last 24 hours. Total number of cases in… https://t.co/5bUiHzcxJm",kaggle_unknown,1,False
What is the medical information about covid_19?,"CIOs have increased their organisational credibility during the pandemic, but there are more complex challenges tha… https://t.co/Jf9LX7RUqb",kaggle_unknown,1,False
What is the medical information about general_health?,"Doctors recommend evidence-based treatment for Non-Hodgkin Lymphoma, not home remedies.",synthetic_true,1,False
What is the medical information about general_health?,"🚨 New Remote Job Listing 📢 
            
Sr. React Developer [100% REMOTE] at Clevertech… https://t.co/gCBRPPsvYq",kaggle_unknown,1,False
What is the medical information about covid_19?,Although I was sure that I had a #severe course of #COVID19 disease - infection with #cardiac involvement plus cons… https://t.co/p7sjJBfEey,kaggle_unknown,1,False
What is the medical information about covid_19?,"@CPHO_Canada @JustinTrudeau #CoronaVirus #CoVid19 #CCPDelendaEst
China Took Two Canadians Hostage: Our Plan To Free… https://t.co/SzXdDRZxT8",kaggle_unknown,1,False
What is the medical information about cancer?,"Doctors recommend evidence-based treatment for Thyroid Cancer, not home remedies.",synthetic_true,1,False
What is the medical information about covid_19?,"If you travel on Emirates and become infected with #COVID19, the airline will cover medical expenses, up to $176,00… https://t.co/dCcfa9NVig",kaggle_unknown,1,False
What is the medical information about covid_19?,"@replouiegohmert is the newest incarnation of #TyphoidGOP 

#COVIDIOT 
#COVID19 
#VoteTheGOPOut",kaggle_unknown,1,False
What is the medical information about covid_19?,...is it possible that #COVID19 and liking a #whiskytwitter comment ruined a 20+ year friendship?! 🤷🏾‍♀️🤷🏾‍♀️🤷🏾‍♀️… https://t.co/hkKikUgyW1,kaggle_unknown,1,False
What is the medical information about general_health?,"Symptoms like fever, chills, fatigue require medical evaluation.",synthetic_true,1,False
What is the medical information about covid_19?,"As the adage goes, you never let a crisis go to waste. The #Covid19 pandemic and the resultant force majeure invoke… https://t.co/MxNPJhZxTs",kaggle_unknown,1,False
What is the medical information about covid_19?,#BREATHE Absolutely amid the COVID-19 #Coronavirus pandemic! Experience safe indoor air that’s well guarded from vi… https://t.co/DkNmbe3Kvq,kaggle_unknown,1,False
